name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date

Kepler-1671 b,1165,2.32 Earths,13.439,2020

Kepler-1672 b,1276,9.11 Earths,12.548,2020

Kepler-1673 b,2372,8.93 Earths,13.783,2020

Kepler-1674 b,3303,10.4 Earths,15.697,2020

Kepler-167 d,1115,1.83 Earths,14.284,2016

Kepler-1681 b,2474,7.05 Earths,14.646,2020

Kepler-1684 b,2029,8.6 Earths,15.951,2020

Kepler-1686 b,2381,2.62 Earths,13.661,2020

Kepler-1689 b,959,0.799 Earths,12.227,2020

Kepler-1690 b,2296,8.3 Earths,14.882,2020

Kepler-1691 b,4135,4.02 Earths,14.893,2020

Kepler-1692 b,1928,1.42 Earths,14.674,2020

Kepler-1699 b,2671,3.08 Earths,14.836,2020

Kepler-169 e,1326,5.48 Earths,14.424,2014

Kepler-16 b,245,0.333 Jupiters,12.144,2011

Kepler-1700 b,2341,8.76 Earths,13.764,2020

Kepler-172 b,2703,6.12 Earths,14.703,2014

Kepler-172 c,2703,8.55 Earths,14.703,2014

Kepler-1653 b,2463,5.35 Earths,15.864,2017

Kepler-165 c,1830,5.6 Earths,15.05,2014

Kepler-1668 b,4357,17.4 Earths,15.792,2020

Kepler-1669 b,1773,8.15 Earths,16.473,2020

Kepler-166 b,1969,5.77 Earths,14.857,2014

Kepler-166 c,1969,6.26 Earths,14.857,2014

Kepler-1670 b,6739,11.2 Earths,15.743,2020

Kepler-1671 b,1165,2.32 Earths,13.439,2020

Kepler-1672 b,1276,9.11 Earths,12.548,2020

Kepler-1673 b,2372,8.93 Earths,13.783,2020

Kepler-1674 b,3303,10.4 Earths,15.697,2020

Kepler-167 d,1115,1.83 Earths,14.284,2016

Kepler-1681 b,2474,7.05 Earths,14.646,2020

Kepler-1684 b,2029,8.6 Earths,15.951,2020

Kepler-1686 b,2381,2.62 Earths,13.661,2020

Kepler-1689 b,959,0.799 Earths,12.227,2020

Kepler-1690 b,2296,8.3 Earths,14.882,2020

Kepler-1691 b,4135,4.02 Earths,14.893,2020

Kepler-1692 b,1928,1.42 Earths,14.674,2020

Kepler-1699 b,2671,3.08 Earths,14.836,2020

Kepler-169 e,1326,5.48 Earths,14.424,2014

Kepler-16 b,245,0.333 Jupiters,12.144,2011

Kepler-1700 b,2341,8.76 Earths,13.764,2020

Kepler-172 b,2703,6.12 Earths,14.703,2014

Kepler-172 c,2703,8.55 Earths,14.703,2014

Kepler-1653 b,2463,5.35 Earths,15.864,2017

Kepler-165 c,1830,5.6 Earths,15.05,2014

Kepler-1668 b,4357,17.4 Earths,15.792,2020

Kepler-1669 b,1773,8.15 Earths,16.473,2020

Kepler-166 b,1969,5.77 Earths,14.857,2014

Kepler-166 c,1969,6.26 Earths,14.857,2014

Kepler-1670 b,6739,11.2 Earths,15.743,2020

Kepler-1671 b,1165,2.32 Earths,13.439,2020

Kepler-1672 b,1276,9.11 Earths,12.548,2020

Kepler-1673 b,2372,8.93 Earths,13.783,2020

Kepler-1674 b,3303,10.4 Earths,15.697,2020

Kepler-167 d,1115,1.83 Earths,14.284,2016

Kepler-1681 b,2474,7.05 Earths,14.646,2020

Kepler-1684 b,2029,8.6 Earths,15.951,2020

Kepler-1686 b,2381,2.62 Earths,13.661,2020

Kepler-1689 b,959,0.799 Earths,12.227,2020

Kepler-1690 b,2296,8.3 Earths,14.882,2020

Kepler-1691 b,4135,4.02 Earths,14.893,2020

Kepler-1692 b,1928,1.42 Earths,14.674,2020

Kepler-1699 b,2671,3.08 Earths,14.836,2020

Kepler-169 e,1326,5.48 Earths,14.424,2014

Kepler-16 b,245,0.333 Jupiters,12.144,2011

Kepler-1700 b,2341,8.76 Earths,13.764,2020

Kepler-172 b,2703,6.12 Earths,14.703,2014

Kepler-172 c,2703,8.55 Earths,14.703,2014

Kepler-1668 b,4357,17.4 Earths,15.792,2020

Kepler-1669 b,1773,8.15 Earths,16.473,2020

Kepler-166 b,1969,5.77 Earths,14.857,2014

Kepler-166 c,1969,6.26 Earths,14.857,2014

Kepler-166 d,1969,3.64 Earths,14.857,2016

Kepler-1670 b,6739,11.2 Earths,15.743,2020

Kepler-1671 b,1165,2.32 Earths,13.439,2020

Kepler-1672 b,1276,9.11 Earths,12.548,2020

Kepler-1673 b,2372,8.93 Earths,13.783,2020

Kepler-1674 b,3303,10.4 Earths,15.697,2020

Kepler-1677 b,2399,7.76 Earths,13.806,2020

Kepler-1679 b,2966,4.93 Earths,15.327,2020

Kepler-167 c,1115,3.01 Earths,14.284,2014

Kepler-167 d,1115,1.83 Earths,14.284,2016

Kepler-1680 b,1012,2.42 Earths,13.85,2020

Kepler-1681 b,2474,7.05 Earths,14.646,2020

Kepler-1684 b,2029,8.6 Earths,15.951,2020

Kepler-1686 b,2381,2.62 Earths,13.661,2020

Kepler-1689 b,959,0.799 Earths,12.227,2020

Kepler-168 b,4383,2.73 Earths,14.842,2014

Kepler-1690 b,2296,8.3 Earths,14.882,2020

Kepler-1691 b,4135,4.02 Earths,14.893,2020

Kepler-1692 b,1928,1.42 Earths,14.674,2020

Kepler-1693 b,2479,2.21 Earths,14.857,2020

Kepler-1696 b,4914,8.29 Earths,15.505,2020

Kepler-1681 b,2474,7.05 Earths,14.646,2020

Kepler-1684 b,2029,8.6 Earths,15.951,2020

Kepler-1686 b,2381,2.62 Earths,13.661,2020

Kepler-1689 b,959,0.799 Earths,12.227,2020

Kepler-168 b,4383,2.73 Earths,14.842,2014

Kepler-1690 b,2296,8.3 Earths,14.882,2020

Kepler-1691 b,4135,4.02 Earths,14.893,2020

Kepler-1692 b,1928,1.42 Earths,14.674,2020

Kepler-1693 b,2479,2.21 Earths,14.857,2020

Kepler-1696 b,4914,8.29 Earths,15.505,2020

Kepler-1698 b,725,1.25 Earths,13.054,2020

Kepler-1699 b,2671,3.08 Earths,14.836,2020

Kepler-169 e,1326,5.48 Earths,14.424,2014

Kepler-16 b,245,0.333 Jupiters,12.144,2011

Kepler-1700 b,2341,8.76 Earths,13.764,2020

Kepler-1702 b,2796,3.2 Earths,16.231,2020

Kepler-170 b,2409,0.26 Jupiters,14.344,2014

Kepler-171 b,2818,6.08 Earths,15.101,2014

Kepler-171 c,2818,7.08 Earths,15.101,2014

Kepler-172 b,2703,6.12 Earths,14.703,2014

Kepler-172 c,2703,8.55 Earths,14.703,2014

Kepler-172 d,2703,5.69 Earths,14.703,2014

Kepler-173 b,2718,2.21 Earths,14.357,2014

Kepler-173 c,2718,6.48 Earths,14.357,2014

Kepler-174 d,1255,5.43 Earths,14.53,2014

Kepler-173 b,2718,2.21 Earths,14.357,2014

Kepler-173 c,2718,6.48 Earths,14.357,2014

Kepler-174 d,1255,5.43 Earths,14.53,2014

Kepler-175 b,4281,7.08 Earths,15.225,2014

Kepler-175 c,4281,9.8 Earths,15.225,2014

Kepler-176 b,1720,2.63 Earths,14.767,2014

Kepler-176 d,1720,15.2 Earths,14.767,2014

Kepler-178 b,2336,8.75 Earths,14.876,2014

Kepler-178 c,2336,8.65 Earths,14.876,2014

Kepler-179 c,1976,4.66 Earths,14.772,2014

Kepler-17 b,2351,2.45 Jupiters,14.314,2011

Kepler-180 b,2269,2.86 Earths,14.488,2014

Kepler-181 c,1987,4.62 Earths,14.854,2014

Kepler-182 b,5053,7.18 Earths,14.942,2014

Kepler-183 b,3427,4.9 Earths,14.993,2014

Kepler-183 c,3427,35.7 Earths,14.993,2014

Kepler-184 b,1991,6.17 Earths,14.42,2014

Kepler-184 c,1991,8.8 Earths,14.42,2014

Kepler-184 d,1991,6.76 Earths,14.42,2014

Kepler-185 b,1522,1.71 Earths,14.562,2014

Kepler-185 c,1522,4.74 Earths,14.562,2014

Kepler-186 b,579,1.24 Earths,15.138,2014

Kepler-187 b,3728,2.57 Earths,14.297,2014

Kepler-187 c,3728,7.61 Earths,14.297,2014

Kepler-188 b,3159,3.46 Earths,14.719,2014

Kepler-188 c,3159,10.3 Earths,14.719,2014

Kepler-189 b,1930,1.92 Earths,14.971,2014

Kepler-189 c,1930,22.7 Earths,14.971,2014

Kepler-18 b,1413,6.9 Earths,13.771,2011

Kepler-18 c,1413,17.3 Earths,13.771,2011

Kepler-18 d,1413,16.4 Earths,13.771,2011

Kepler-190 b,1414,3.05 Earths,14.336,2014

Kepler-191 b,1939,2.36 Earths,14.987,2014

Kepler-191 c,1939,4.12 Earths,14.987,2014

Kepler-191 d,1939,5.82 Earths,14.987,2016

Kepler-192 b,2126,7.95 Earths,14.308,2014

Kepler-192 c,2126,8.2 Earths,14.308,2014

Kepler-192 d,2126,1.04 Earths,14.308,2016

Kepler-193 c,3292,8 Earths,14.712,2014

Kepler-194 b,3582,2.89 Earths,14.969,2014

Kepler-194 c,3582,7.22 Earths,14.969,2014

Kepler-194 d,3582,6.35 Earths,14.969,2014

Kepler-195 c,2127,3.02 Earths,14.863,2014

Kepler-196 b,1472,4.27 Earths,14.239,2014

Kepler-197 b,1078,1.04 Earths,11.775,2014

Kepler-197 c,1078,5.3 Earths,11.775,2014

Kepler-197 d,1078,1.98 Earths,11.775,2014

Kepler-198 d,1616,2.96 Earths,13.684,2016

Kepler-19 d,713,22.5 Earths,12.035,2017

Kepler-200 b,2172,5.18 Earths,13.932,2014

Kepler-201 b,2076,6.62 Earths,12.991,2014

Kepler-201 c,2076,8.5 Earths,12.991,2014

Kepler-202 b,930,3.29 Earths,14.178,2014

Kepler-202 c,930,4.08 Earths,14.178,2014

Kepler-203 b,2294,7.13 Earths,14.14,2014

Kepler-204 b,2240,6.94 Earths,13.977,2014

Kepler-205 b,521,2.89 Earths,13.779,2014

Kepler-205 c,521,3.33 Earths,13.779,2014

Kepler-206 b,1939,1.87 Earths,13.507,2014

Kepler-206 c,1939,3.78 Earths,13.507,2014

Kepler-206 d,1939,1.81 Earths,13.507,2014

Kepler-207 b,2856,3.09 Earths,13.164,2014

Kepler-207 c,2856,2.86 Earths,13.164,2014

Kepler-207 d,2856,11 Earths,13.164,2014

Kepler-208 b,2529,3.29 Earths,13.561,2014

Kepler-208 c,2529,2.51 Earths,13.561,2014

Kepler-208 d,2529,1.87 Earths,13.561,2014

Kepler-208 e,2529,2.79 Earths,13.561,2014

Kepler-209 c,1882,9.8 Earths,14.132,2014

Kepler-20 c,922,12.75 Earths,12.61,2011

Kepler-20 d,922,10.07 Earths,12.61,2011

Kepler-20 f,922,14.3 Earths,12.61,2011

Kepler-20 g,922,19.96 Earths,12.61,2016

Kepler-210 b,759,8.96 Earths,14.126,2014

Kepler-210 c,759,12.8 Earths,14.126,2014

Kepler-212 b,2242,1.32 Earths,13.129,2014

Kepler-212 c,2242,7.95 Earths,13.129,2014

Kepler-213 b,2071,3.26 Earths,13.705,2014

Kepler-213 c,2071,6.08 Earths,13.705,2014

Kepler-214 b,3942,7.32 Earths,14.057,2014

Kepler-214 c,3942,5.18 Earths,14.057,2014

Kepler-215 b,1585,3.26 Earths,13.678,2014

Kepler-216 b,3874,6.12 Earths,14.054,2014

Kepler-216 c,3874,9.48 Earths,14.054,2014

Kepler-217 c,3603,4.08 Earths,13.155,2014

Kepler-218 b,2141,2.79 Earths,14.035,2014

Kepler-218 c,2141,10 Earths,14.035,2014

Kepler-219 b,2567,9.01 Earths,13.823,2014

Kepler-219 c,2567,12.5 Earths,13.823,2014

Kepler-21 b,354,5.08 Earths,8.25,2012

Kepler-220 b,558,0.457 Earths,13.049,2014

Kepler-220 e,558,2.33 Earths,13.049,2014

Kepler-221 b,1257,3.57 Earths,13.97,2014

Kepler-221 c,1257,15.1 Earths,13.97,2014

Kepler-221 d,1257,7.9 Earths,13.97,2014

Kepler-221 e,1257,7.41 Earths,13.97,2014

Kepler-222 d,2475,13.2 Earths,15.407,2014

Kepler-223 b,6066,7.4 Earths,15.69,2014

Kepler-223 c,6066,5.1 Earths,15.69,2014

Kepler-223 d,6066,8 Earths,15.69,2014

Kepler-212 b,2242,1.32 Earths,13.129,2014

Kepler-212 c,2242,7.95 Earths,13.129,2014

Kepler-213 b,2071,3.26 Earths,13.705,2014

Kepler-213 c,2071,6.08 Earths,13.705,2014

Kepler-214 b,3942,7.32 Earths,14.057,2014

Kepler-214 c,3942,5.18 Earths,14.057,2014

Kepler-215 b,1585,3.26 Earths,13.678,2014

Kepler-216 b,3874,6.12 Earths,14.054,2014

Kepler-216 c,3874,9.48 Earths,14.054,2014

Kepler-217 c,3603,4.08 Earths,13.155,2014

Kepler-218 b,2141,2.79 Earths,14.035,2014

Kepler-218 c,2141,10 Earths,14.035,2014

Kepler-219 b,2567,9.01 Earths,13.823,2014

Kepler-219 c,2567,12.5 Earths,13.823,2014

Kepler-21 b,354,5.08 Earths,8.25,2012

Kepler-220 b,558,0.457 Earths,13.049,2014

Kepler-220 e,558,2.33 Earths,13.049,2014

Kepler-221 b,1257,3.57 Earths,13.97,2014

Kepler-221 c,1257,15.1 Earths,13.97,2014

Kepler-221 d,1257,7.9 Earths,13.97,2014

Kepler-221 e,1257,7.41 Earths,13.97,2014

Kepler-222 d,2475,13.2 Earths,15.407,2014

Kepler-223 b,6066,7.4 Earths,15.69,2014

Kepler-223 c,6066,5.1 Earths,15.69,2014

Kepler-223 d,6066,8 Earths,15.69,2014

Kepler-212 b,2242,1.32 Earths,13.129,2014

Kepler-212 c,2242,7.95 Earths,13.129,2014

Kepler-213 b,2071,3.26 Earths,13.705,2014

Kepler-213 c,2071,6.08 Earths,13.705,2014

Kepler-214 b,3942,7.32 Earths,14.057,2014

Kepler-214 c,3942,5.18 Earths,14.057,2014

Kepler-215 b,1585,3.26 Earths,13.678,2014

Kepler-216 b,3874,6.12 Earths,14.054,2014

Kepler-216 c,3874,9.48 Earths,14.054,2014

Kepler-217 c,3603,4.08 Earths,13.155,2014

Kepler-218 b,2141,2.79 Earths,14.035,2014

Kepler-218 c,2141,10 Earths,14.035,2014

Kepler-219 b,2567,9.01 Earths,13.823,2014

Kepler-219 c,2567,12.5 Earths,13.823,2014

Kepler-21 b,354,5.08 Earths,8.25,2012

Kepler-220 b,558,0.457 Earths,13.049,2014

Kepler-220 e,558,2.33 Earths,13.049,2014

Kepler-221 b,1257,3.57 Earths,13.97,2014

Kepler-221 c,1257,15.1 Earths,13.97,2014

Kepler-221 d,1257,7.9 Earths,13.97,2014

Kepler-221 e,1257,7.41 Earths,13.97,2014

Kepler-222 d,2475,13.2 Earths,15.407,2014

Kepler-223 b,6066,7.4 Earths,15.69,2014

Kepler-223 c,6066,5.1 Earths,15.69,2014

Kepler-223 d,6066,8 Earths,15.69,2014

Kepler-212 b,2242,1.32 Earths,13.129,2014

Kepler-212 c,2242,7.95 Earths,13.129,2014

Kepler-213 b,2071,3.26 Earths,13.705,2014

Kepler-213 c,2071,6.08 Earths,13.705,2014

Kepler-214 b,3942,7.32 Earths,14.057,2014

Kepler-214 c,3942,5.18 Earths,14.057,2014

Kepler-215 b,1585,3.26 Earths,13.678,2014

Kepler-216 b,3874,6.12 Earths,14.054,2014

Kepler-216 c,3874,9.48 Earths,14.054,2014

Kepler-217 c,3603,4.08 Earths,13.155,2014

Kepler-218 b,2141,2.79 Earths,14.035,2014

Kepler-218 c,2141,10 Earths,14.035,2014

Kepler-219 b,2567,9.01 Earths,13.823,2014

Kepler-219 c,2567,12.5 Earths,13.823,2014

Kepler-21 b,354,5.08 Earths,8.25,2012

Kepler-220 b,558,0.457 Earths,13.049,2014

Kepler-220 e,558,2.33 Earths,13.049,2014

Kepler-221 b,1257,3.57 Earths,13.97,2014

Kepler-221 c,1257,15.1 Earths,13.97,2014

Kepler-221 d,1257,7.9 Earths,13.97,2014

Kepler-221 e,1257,7.41 Earths,13.97,2014

Kepler-222 d,2475,13.2 Earths,15.407,2014

Kepler-223 b,6066,7.4 Earths,15.69,2014

Kepler-223 c,6066,5.1 Earths,15.69,2014

Kepler-223 d,6066,8 Earths,15.69,2014

Kepler-223 e,6066,4.8 Earths,15.69,2014

Kepler-224 c,2551,9.91 Earths,15.801,2014

Kepler-224 d,2551,5.9 Earths,15.801,2014

Kepler-225 b,1830,1.87 Earths,16.294,2014

Kepler-226 d,3197,1.98 Earths,15.563,2014

Kepler-228 c,5365,7.75 Earths,15.902,2014

Kepler-229 b,2695,5.48 Earths,16.22,2014

Kepler-229 d,2695,14.2 Earths,16.22,2014

Kepler-22 b,635,36 Earths,11.751,2011

Kepler-230 b,2416,16.8 Earths,15.264,2014

Kepler-230 c,2416,4.82 Earths,15.264,2014

Kepler-231 b,1033,35.4 Earths,15.813,2014

Kepler-231 c,1033,24.1 Earths,15.813,2014

Kepler-232 b,4401,9.69 Earths,15.565,2014

Kepler-232 c,4401,14 Earths,15.565,2014

Kepler-233 b,2794,6.48 Earths,15.477,2014

Kepler-233 c,2794,7.8 Earths,15.477,2014

Kepler-235 b,1396,5.6 Earths,16.567,2014

Kepler-235 d,1396,4.86 Earths,16.567,2014

Kepler-236 b,942,3.09 Earths,16.014,2014

Kepler-237 c,2146,4.98 Earths,15.689,2014

Kepler-238 c,5868,6.3 Earths,15.297,2014

Kepler-238 e,5868,0.534 Jupiters,15.297,2013

Kepler-239 b,2114,6.04 Earths,15.252,2014

Kepler-23 c,2726,2.7 Jupiters,13.567,2011

Kepler-223 e,6066,4.8 Earths,15.69,2014

Kepler-224 c,2551,9.91 Earths,15.801,2014

Kepler-224 d,2551,5.9 Earths,15.801,2014

Kepler-225 b,1830,1.87 Earths,16.294,2014

Kepler-226 d,3197,1.98 Earths,15.563,2014

Kepler-228 c,5365,7.75 Earths,15.902,2014

Kepler-229 b,2695,5.48 Earths,16.22,2014

Kepler-229 d,2695,14.2 Earths,16.22,2014

Kepler-22 b,635,36 Earths,11.751,2011

Kepler-230 b,2416,16.8 Earths,15.264,2014

Kepler-230 c,2416,4.82 Earths,15.264,2014

Kepler-231 b,1033,35.4 Earths,15.813,2014

Kepler-231 c,1033,24.1 Earths,15.813,2014

Kepler-232 b,4401,9.69 Earths,15.565,2014

Kepler-232 c,4401,14 Earths,15.565,2014

Kepler-233 b,2794,6.48 Earths,15.477,2014

Kepler-233 c,2794,7.8 Earths,15.477,2014

Kepler-235 b,1396,5.6 Earths,16.567,2014

Kepler-235 d,1396,4.86 Earths,16.567,2014

Kepler-236 b,942,3.09 Earths,16.014,2014

Kepler-237 c,2146,4.98 Earths,15.689,2014

Kepler-238 c,5868,6.3 Earths,15.297,2014

Kepler-238 e,5868,0.534 Jupiters,15.297,2013

Kepler-239 b,2114,6.04 Earths,15.252,2014

Kepler-23 c,2726,2.7 Jupiters,13.567,2011

Kepler-23 d,2726,17.6 Earths,13.567,2014

Kepler-241 b,1670,6.04 Earths,15.708,2014

Kepler-241 c,1670,7.13 Earths,15.708,2014

Kepler-242 c,1958,4.66 Earths,15.489,2014

Kepler-243 b,2263,6.57 Earths,15.159,2014

Kepler-243 c,2263,4.62 Earths,15.159,2014

Kepler-244 d,3381,15.2 Earths,15.747,2014

Kepler-245 b,2810,7.13 Earths,15.546,2014

Kepler-245 c,2810,0.71 Jupiters,15.546,2014

Kepler-245 d,2810,21.6 Earths,15.546,2014

Kepler-246 b,2042,6.08 Earths,15.197,2014

Kepler-246 c,2042,2.86 Earths,15.197,2014

Kepler-247 b,2165,3.33 Earths,15.199,2014

Kepler-247 d,2165,14.7 Earths,15.199,2014

Kepler-248 b,2410,9.38 Earths,15.506,2014

Kepler-248 c,2410,15.6 Earths,15.506,2014

Kepler-249 d,621,3.09 Earths,16.37,2014

Kepler-24 b,3774,1.6 Jupiters,15.04,2011

Kepler-24 c,3774,1.6 Jupiters,15.04,2011

Kepler-24 d,3774,3.43 Earths,15.04,2014

Kepler-250 b,2481,1.51 Earths,15.819,2014

Kepler-251 b,3016,2.33 Earths,15.541,2014

Kepler-252 b,1238,2.04 Earths,15.406,2014

Kepler-252 c,1238,5.27 Earths,15.406,2014

Kepler-254 b,4532,14.3 Earths,16.012,2014

Kepler-254 c,4532,3.2 Earths,16.012,2014

Kepler-255 b,3433,3.02 Earths,15.699,2014

Kepler-255 c,3433,9.22 Earths,15.699,2014

Kepler-256 b,3348,3.15 Earths,15.178,2014

Kepler-256 d,3348,6.71 Earths,15.178,2014

Kepler-256 e,3348,6.12 Earths,15.178,2014

Kepler-257 b,2545,7.32 Earths,15.652,2014

Kepler-257 d,2545,21.7 Earths,15.652,2014

Kepler-258 b,1879,15.5 Earths,15.49,2014

Kepler-259 c,3269,7.75 Earths,15.378,2014

Kepler-262 b,2000,2.42 Earths,14.478,2014

Kepler-262 c,2000,3.33 Earths,14.478,2014

Kepler-263 c,2462,6.66 Earths,15.435,2014

Kepler-264 b,3073,11.1 Earths,13.15,2014

Kepler-264 c,3073,8.4 Earths,13.15,2014

Kepler-265 b,4176,4.12 Earths,15.47,2014

Kepler-265 c,4176,7.41 Earths,15.47,2014

Kepler-265 e,4176,7.22 Earths,15.47,2014

Kepler-266 b,4472,6.71 Earths,15.787,2014

Kepler-267 c,864,5.18 Earths,16.69,2014

Kepler-26 c,1094,6.2 Earths,15.853,2011

Kepler-26 d,1094,1.24 Earths,15.853,2014

Kepler-26 e,1094,6.39 Earths,15.853,2014

Kepler-271 b,1320,2.04 Earths,13.578,2014

Kepler-271 c,1320,0.809 Earths,13.578,2014

Kepler-254 c,4532,3.2 Earths,16.012,2014

Kepler-255 b,3433,3.02 Earths,15.699,2014

Kepler-255 c,3433,9.22 Earths,15.699,2014

Kepler-256 b,3348,3.15 Earths,15.178,2014

Kepler-256 d,3348,6.71 Earths,15.178,2014

Kepler-256 e,3348,6.12 Earths,15.178,2014

Kepler-257 b,2545,7.32 Earths,15.652,2014

Kepler-257 d,2545,21.7 Earths,15.652,2014

Kepler-258 b,1879,15.5 Earths,15.49,2014

Kepler-259 c,3269,7.75 Earths,15.378,2014

Kepler-262 b,2000,2.42 Earths,14.478,2014

Kepler-262 c,2000,3.33 Earths,14.478,2014

Kepler-263 c,2462,6.66 Earths,15.435,2014

Kepler-264 b,3073,11.1 Earths,13.15,2014

Kepler-264 c,3073,8.4 Earths,13.15,2014

Kepler-265 b,4176,4.12 Earths,15.47,2014

Kepler-265 c,4176,7.41 Earths,15.47,2014

Kepler-265 e,4176,7.22 Earths,15.47,2014

Kepler-266 b,4472,6.71 Earths,15.787,2014

Kepler-267 c,864,5.18 Earths,16.69,2014

Kepler-26 c,1094,6.2 Earths,15.853,2011

Kepler-26 d,1094,1.24 Earths,15.853,2014

Kepler-26 e,1094,6.39 Earths,15.853,2014

Kepler-271 b,1320,2.04 Earths,13.578,2014

Kepler-271 c,1320,0.809 Earths,13.578,2014

Kepler-254 c,4532,3.2 Earths,16.012,2014

Kepler-255 b,3433,3.02 Earths,15.699,2014

Kepler-255 c,3433,9.22 Earths,15.699,2014

Kepler-256 b,3348,3.15 Earths,15.178,2014

Kepler-256 d,3348,6.71 Earths,15.178,2014

Kepler-256 e,3348,6.12 Earths,15.178,2014

Kepler-257 b,2545,7.32 Earths,15.652,2014

Kepler-257 d,2545,21.7 Earths,15.652,2014

Kepler-258 b,1879,15.5 Earths,15.49,2014

Kepler-259 c,3269,7.75 Earths,15.378,2014

Kepler-262 b,2000,2.42 Earths,14.478,2014

Kepler-262 c,2000,3.33 Earths,14.478,2014

Kepler-263 c,2462,6.66 Earths,15.435,2014

Kepler-264 b,3073,11.1 Earths,13.15,2014

Kepler-264 c,3073,8.4 Earths,13.15,2014

Kepler-265 b,4176,4.12 Earths,15.47,2014

Kepler-265 c,4176,7.41 Earths,15.47,2014

Kepler-265 e,4176,7.22 Earths,15.47,2014

Kepler-266 b,4472,6.71 Earths,15.787,2014

Kepler-267 c,864,5.18 Earths,16.69,2014

Kepler-26 c,1094,6.2 Earths,15.853,2011

Kepler-26 d,1094,1.24 Earths,15.853,2014

Kepler-26 e,1094,6.39 Earths,15.853,2014

Kepler-271 b,1320,2.04 Earths,13.578,2014

Kepler-271 c,1320,0.809 Earths,13.578,2014

Kepler-279 b,3384,12.8 Earths,13.647,2014

Kepler-279 c,3384,0.155 Jupiters,13.647,2013

Kepler-280 b,2546,2.7 Earths,14.35,2014

Kepler-280 c,2546,4.7 Earths,14.35,2014

Kepler-281 c,5694,24.4 Earths,15.931,2014

Kepler-282 b,4363,1.01 Earths,15.444,2014

Kepler-282 c,4363,1.87 Earths,15.444,2014

Kepler-282 d,4363,0.192 Jupiters,15.444,2013

Kepler-283 b,1527,5.18 Earths,16.216,2014

Kepler-283 c,1527,3.97 Earths,16.216,2014

Kepler-284 c,3366,7.32 Earths,15.944,2014

Kepler-285 b,2689,2.36 Earths,15.198,2014

Kepler-285 c,2689,1.46 Earths,15.198,2014

Kepler-286 b,4002,2.07 Earths,15.863,2014

Kepler-286 c,4002,2.45 Earths,15.863,2014

Kepler-286 e,4002,3.78 Earths,15.863,2014

Kepler-287 b,2727,6.04 Earths,14.952,2014

Kepler-287 c,2727,10.7 Earths,14.952,2014

Kepler-288 b,3895,3.43 Earths,15.283,2014

Kepler-288 d,3895,7.61 Earths,15.283,2014

Kepler-289 c,2298,0.42 Jupiters,14.142,2014

Kepler-289 d,2298,4 Earths,14.142,2014

Kepler-290 c,2266,7.75 Earths,15.775,2014

Kepler-291 b,5827,5.31 Earths,16.218,2014

Kepler-292 b,3446,2.3 Earths,16.303,2014

Kepler-283 b,1527,5.18 Earths,16.216,2014

Kepler-283 c,1527,3.97 Earths,16.216,2014

Kepler-284 c,3366,7.32 Earths,15.944,2014

Kepler-285 b,2689,2.36 Earths,15.198,2014

Kepler-285 c,2689,1.46 Earths,15.198,2014

Kepler-286 b,4002,2.07 Earths,15.863,2014

Kepler-286 c,4002,2.45 Earths,15.863,2014

Kepler-286 e,4002,3.78 Earths,15.863,2014

Kepler-287 b,2727,6.04 Earths,14.952,2014

Kepler-287 c,2727,10.7 Earths,14.952,2014

Kepler-288 b,3895,3.43 Earths,15.283,2014

Kepler-288 d,3895,7.61 Earths,15.283,2014

Kepler-289 c,2298,0.42 Jupiters,14.142,2014

Kepler-289 d,2298,4 Earths,14.142,2014

Kepler-290 c,2266,7.75 Earths,15.775,2014

Kepler-291 b,5827,5.31 Earths,16.218,2014

Kepler-292 b,3446,2.3 Earths,16.303,2014

Kepler-292 c,3446,2.76 Earths,16.303,2014

Kepler-293 b,3179,9.64 Earths,15.452,2014

Kepler-293 c,3179,14 Earths,15.452,2014

Kepler-294 b,4427,3.78 Earths,15.948,2014

Kepler-295 b,5543,1.98 Earths,14.631,2014

Kepler-295 c,5543,1.71 Earths,14.631,2014

Kepler-295 d,5543,2.42 Earths,14.631,2014

Kepler-296 b,545,3.22 Earths,16.363,2014

Kepler-283 b,1527,5.18 Earths,16.216,2014

Kepler-283 c,1527,3.97 Earths,16.216,2014

Kepler-284 c,3366,7.32 Earths,15.944,2014

Kepler-285 b,2689,2.36 Earths,15.198,2014

